Date,Restaurant,FoodConsumption
18,Katani Dhaba Sector35 D Chandigarh,145
19,Katani Dhaba Sector35 D Chandigarh,178
20,Katani Dhaba Sector35 D Chandigarh,146
21,Katani Dhaba Sector35 D Chandigarh,157
22,Katani Dhaba Sector35 D Chandigarh,126
23,Katani Dhaba Sector35 D Chandigarh,156
24,Katani Dhaba Sector35 D Chandigarh,134
25,Katani Dhaba Sector35 D Chandigarh,178
26,Katani Dhaba Sector35 D Chandigarh,134
27,Katani Dhaba Sector35 D Chandigarh,167
28,Katani Dhaba Sector35 D Chandigarh,126
29,Katani Dhaba Sector35 D Chandigarh,134
30,Katani Dhaba Sector35 D Chandigarh,168
31,Katani Dhaba Sector35 D Chandigarh,144
32,Katani Dhaba Sector35 D Chandigarh,167
33,Katani Dhaba Sector35 D Chandigarh,150
34,Katani Dhaba Sector35 D Chandigarh,145
35,Katani Dhaba Sector35 D Chandigarh,146
36,Katani Dhaba Sector35 D Chandigarh,123
37,Katani Dhaba Sector35 D Chandigarh,149
38,Katani Dhaba Sector35 D Chandigarh,147
39,Katani Dhaba Sector35 D Chandigarh,157
40,Katani Dhaba Sector35 D Chandigarh,128
41,Katani Dhaba Sector35 D Chandigarh,146
42,Katani Dhaba Sector35 D Chandigarh,156
43,Katani Dhaba Sector35 D Chandigarh,134
44,Katani Dhaba Sector35 D Chandigarh,189
45,Katani Dhaba Sector35 D Chandigarh,167
46,Katani Dhaba Sector35 D Chandigarh,134
47,Katani Dhaba Sector35 D Chandigarh,189
48,Katani Dhaba Sector35 D Chandigarh,134
49,Katani Dhaba Sector35 D Chandigarh,156
50,Katani Dhaba Sector35 D Chandigarh,178
51,Katani Dhaba Sector35 D Chandigarh,145
52,Katani Dhaba Sector35 D Chandigarh,188
53,Katani Dhaba Sector35 D Chandigarh,177
54,Katani Dhaba Sector35 D Chandigarh,166
55,Katani Dhaba Sector35 D Chandigarh,156
56,Katani Dhaba Sector35 D Chandigarh,145
57,Katani Dhaba Sector35 D Chandigarh,110
58,Katani Dhaba Sector35 D Chandigarh,120
59,Katani Dhaba Sector35 D Chandigarh,130
60,Katani Dhaba Sector35 D Chandigarh,140
1,Swagath Restaurant and Bar,156
2,Swagath Restaurant and Bar,166
3,Swagath Restaurant and Bar,176
4,Swagath Restaurant and Bar,186
5,Swagath Restaurant and Bar,156
6,Swagath Restaurant and Bar,145
7,Swagath Restaurant and Bar,167
8,Swagath Restaurant and Bar,188
9,Swagath Restaurant and Bar,198
10,Swagath Restaurant and Bar,156
11,Swagath Restaurant and Bar,136
12,Swagath Restaurant and Bar,166
13,Swagath Restaurant and Bar,136
14,Swagath Restaurant and Bar,157
15,Swagath Restaurant and Bar,126
16,Swagath Restaurant and Bar,166
17,Swagath Restaurant and Bar,178
18,Swagath Restaurant and Bar,167
19,Swagath Restaurant and Bar,134
20,Swagath Restaurant and Bar,135
21,Swagath Restaurant and Bar,157
22,Swagath Restaurant and Bar,159
23,Swagath Restaurant and Bar,145
24,Swagath Restaurant and Bar,143
25,Swagath Restaurant and Bar,157
26,Swagath Restaurant and Bar,178
27,Swagath Restaurant and Bar,154
28,Swagath Restaurant and Bar,134
29,Swagath Restaurant and Bar,167
30,Swagath Restaurant and Bar,199
31,Swagath Restaurant and Bar,123
32,Swagath Restaurant and Bar,155
33,Swagath Restaurant and Bar,152
34,Swagath Restaurant and Bar,154
35,Swagath Restaurant and Bar,156
36,Swagath Restaurant and Bar,153
37,Swagath Restaurant and Bar,134
38,Swagath Restaurant and Bar,156
39,Swagath Restaurant and Bar,177
40,Swagath Restaurant and Bar,156
41,Swagath Restaurant and Bar,134
42,Swagath Restaurant and Bar,123
43,Swagath Restaurant and Bar,157
44,Swagath Restaurant and Bar,178
45,Swagath Restaurant and Bar,135
46,Swagath Restaurant and Bar,189
47,Swagath Restaurant and Bar,143
48,Swagath Restaurant and Bar,187
49,Swagath Restaurant and Bar,145
50,Swagath Restaurant and Bar,123
51,Swagath Restaurant and Bar,167
52,Swagath Restaurant and Bar,189
53,Swagath Restaurant and Bar,145
54,Swagath Restaurant and Bar,156
55,Swagath Restaurant and Bar,134
56,Swagath Restaurant and Bar,172
57,Swagath Restaurant and Bar,191
58,Swagath Restaurant and Bar,121
59,Swagath Restaurant and Bar,178
60,Swagath Restaurant and Bar,156
1,Ghazal Restaurant Sector 17,145
2,Ghazal Restaurant Sector 17,191
3,Ghazal Restaurant Sector 17,130
4,Ghazal Restaurant Sector 17,174
5,Ghazal Restaurant Sector 17,116
6,Ghazal Restaurant Sector 17,151
7,Ghazal Restaurant Sector 17,163
8,Ghazal Restaurant Sector 17,123
9,Ghazal Restaurant Sector 17,143
10,Ghazal Restaurant Sector 17,189
11,Ghazal Restaurant Sector 17,167
12,Ghazal Restaurant Sector 17,115
13,Ghazal Restaurant Sector 17,187
14,Ghazal Restaurant Sector 17,153
15,Ghazal Restaurant Sector 17,162
16,Ghazal Restaurant Sector 17,133
17,Ghazal Restaurant Sector 17,192
18,Ghazal Restaurant Sector 17,153
19,Ghazal Restaurant Sector 17,155
20,Ghazal Restaurant Sector 17,145
21,Ghazal Restaurant Sector 17,141
22,Ghazal Restaurant Sector 17,181
23,Ghazal Restaurant Sector 17,169
24,Ghazal Restaurant Sector 17,184
25,Ghazal Restaurant Sector 17,115
26,Ghazal Restaurant Sector 17,126
27,Ghazal Restaurant Sector 17,155
28,Ghazal Restaurant Sector 17,170
29,Ghazal Restaurant Sector 17,188
30,Ghazal Restaurant Sector 17,131
31,Ghazal Restaurant Sector 17,156
32,Ghazal Restaurant Sector 17,146
33,Ghazal Restaurant Sector 17,139
34,Ghazal Restaurant Sector 17,190
35,Ghazal Restaurant Sector 17,197
36,Ghazal Restaurant Sector 17,158
37,Ghazal Restaurant Sector 17,144
38,Ghazal Restaurant Sector 17,179
39,Ghazal Restaurant Sector 17,126
40,Ghazal Restaurant Sector 17,125
41,Ghazal Restaurant Sector 17,115
42,Ghazal Restaurant Sector 17,134
43,Ghazal Restaurant Sector 17,143
44,Ghazal Restaurant Sector 17,136
45,Ghazal Restaurant Sector 17,168
46,Ghazal Restaurant Sector 17,151
47,Ghazal Restaurant Sector 17,127
48,Ghazal Restaurant Sector 17,179
49,Ghazal Restaurant Sector 17,119
50,Ghazal Restaurant Sector 17,124
51,Ghazal Restaurant Sector 17,145
52,Ghazal Restaurant Sector 17,153
53,Ghazal Restaurant Sector 17,182
54,Ghazal Restaurant Sector 17,129
55,Ghazal Restaurant Sector 17,139
56,Ghazal Restaurant Sector 17,143
57,Ghazal Restaurant Sector 17,120
58,Ghazal Restaurant Sector 17,189
59,Ghazal Restaurant Sector 17,142
60,Ghazal Restaurant Sector 17,149
1,Sankalp Vegetarian Restaurant,126
2,Sankalp Vegetarian Restaurant,188
3,Sankalp Vegetarian Restaurant,135
4,Sankalp Vegetarian Restaurant,177
5,Sankalp Vegetarian Restaurant,163
6,Sankalp Vegetarian Restaurant,134
7,Sankalp Vegetarian Restaurant,119
8,Sankalp Vegetarian Restaurant,151
9,Sankalp Vegetarian Restaurant,123
10,Sankalp Vegetarian Restaurant,190
11,Sankalp Vegetarian Restaurant,154
12,Sankalp Vegetarian Restaurant,133
13,Sankalp Vegetarian Restaurant,146
14,Sankalp Vegetarian Restaurant,158
15,Sankalp Vegetarian Restaurant,142
16,Sankalp Vegetarian Restaurant,152
17,Sankalp Vegetarian Restaurant,177
18,Sankalp Vegetarian Restaurant,120
19,Sankalp Vegetarian Restaurant,167
20,Sankalp Vegetarian Restaurant,148
21,Sankalp Vegetarian Restaurant,199
22,Sankalp Vegetarian Restaurant,124
23,Sankalp Vegetarian Restaurant,151
24,Sankalp Vegetarian Restaurant,179
25,Sankalp Vegetarian Restaurant,164
26,Sankalp Vegetarian Restaurant,197
27,Sankalp Vegetarian Restaurant,119
28,Sankalp Vegetarian Restaurant,184
29,Sankalp Vegetarian Restaurant,138
30,Sankalp Vegetarian Restaurant,112
31,Sankalp Vegetarian Restaurant,123
32,Sankalp Vegetarian Restaurant,144
33,Sankalp Vegetarian Restaurant,122
34,Sankalp Vegetarian Restaurant,126
35,Sankalp Vegetarian Restaurant,144
36,Sankalp Vegetarian Restaurant,175
37,Sankalp Vegetarian Restaurant,136
38,Sankalp Vegetarian Restaurant,162
39,Sankalp Vegetarian Restaurant,118
40,Sankalp Vegetarian Restaurant,176
41,Sankalp Vegetarian Restaurant,154
42,Sankalp Vegetarian Restaurant,125
43,Sankalp Vegetarian Restaurant,187
44,Sankalp Vegetarian Restaurant,146
45,Sankalp Vegetarian Restaurant,165
46,Sankalp Vegetarian Restaurant,119
47,Sankalp Vegetarian Restaurant,131
48,Sankalp Vegetarian Restaurant,179
49,Sankalp Vegetarian Restaurant,170
50,Sankalp Vegetarian Restaurant,159
51,Sankalp Vegetarian Restaurant,161
52,Sankalp Vegetarian Restaurant,138
53,Sankalp Vegetarian Restaurant,145
54,Sankalp Vegetarian Restaurant,120
55,Sankalp Vegetarian Restaurant,157
56,Sankalp Vegetarian Restaurant,139
57,Sankalp Vegetarian Restaurant,192
58,Sankalp Vegetarian Restaurant,155
59,Sankalp Vegetarian Restaurant,195
60,Sankalp Vegetarian Restaurant,187
1,Pirates of Grill Sector-17,168
2,Pirates of Grill Sector-17,142
3,Pirates of Grill Sector-17,129
4,Pirates of Grill Sector-17,115
5,Pirates of Grill Sector-17,187
6,Pirates of Grill Sector-17,199
7,Pirates of Grill Sector-17,189
8,Pirates of Grill Sector-17,155
9,Pirates of Grill Sector-17,132
10,Pirates of Grill Sector-17,184
11,Pirates of Grill Sector-17,149
12,Pirates of Grill Sector-17,134
13,Pirates of Grill Sector-17,175
14,Pirates of Grill Sector-17,156
15,Pirates of Grill Sector-17,165
16,Pirates of Grill Sector-17,121
17,Pirates of Grill Sector-17,148
18,Pirates of Grill Sector-17,170
19,Pirates of Grill Sector-17,144
20,Pirates of Grill Sector-17,133
21,Pirates of Grill Sector-17,112
22,Pirates of Grill Sector-17,173
23,Pirates of Grill Sector-17,147
24,Pirates of Grill Sector-17,138
25,Pirates of Grill Sector-17,135
26,Pirates of Grill Sector-17,127
27,Pirates of Grill Sector-17,139
28,Pirates of Grill Sector-17,156
29,Pirates of Grill Sector-17,159
30,Pirates of Grill Sector-17,195
31,Pirates of Grill Sector-17,142
32,Pirates of Grill Sector-17,192
33,Pirates of Grill Sector-17,158
34,Pirates of Grill Sector-17,161
35,Pirates of Grill Sector-17,162
36,Pirates of Grill Sector-17,116
37,Pirates of Grill Sector-17,177
38,Pirates of Grill Sector-17,167
39,Pirates of Grill Sector-17,124
40,Pirates of Grill Sector-17,134
41,Pirates of Grill Sector-17,145
42,Pirates of Grill Sector-17,113
43,Pirates of Grill Sector-17,117
44,Pirates of Grill Sector-17,123
45,Pirates of Grill Sector-17,141
46,Pirates of Grill Sector-17,129
47,Pirates of Grill Sector-17,191
48,Pirates of Grill Sector-17,186
49,Pirates of Grill Sector-17,127
50,Pirates of Grill Sector-17,153
51,Pirates of Grill Sector-17,150
52,Pirates of Grill Sector-17,176
53,Pirates of Grill Sector-17,196
54,Pirates of Grill Sector-17,131
55,Pirates of Grill Sector-17,144
56,Pirates of Grill Sector-17,183
57,Pirates of Grill Sector-17,186
58,Pirates of Grill Sector-17,122
59,Pirates of Grill Sector-17,191
60,Pirates of Grill Sector-17,191
1,Sagar Ratna Sector 35-C,138
2,Sagar Ratna Sector 35-C,127
3,Sagar Ratna Sector 35-C,143
4,Sagar Ratna Sector 35-C,149
5,Sagar Ratna Sector 35-C,112
6,Sagar Ratna Sector 35-C,183
7,Sagar Ratna Sector 35-C,157
8,Sagar Ratna Sector 35-C,163
9,Sagar Ratna Sector 35-C,115
10,Sagar Ratna Sector 35-C,137
11,Sagar Ratna Sector 35-C,129
12,Sagar Ratna Sector 35-C,174
13,Sagar Ratna Sector 35-C,121
14,Sagar Ratna Sector 35-C,190
15,Sagar Ratna Sector 35-C,142
16,Sagar Ratna Sector 35-C,192
17,Sagar Ratna Sector 35-C,141
18,Sagar Ratna Sector 35-C,152
19,Sagar Ratna Sector 35-C,171
20,Sagar Ratna Sector 35-C,176
21,Sagar Ratna Sector 35-C,176
22,Sagar Ratna Sector 35-C,113
23,Sagar Ratna Sector 35-C,141
24,Sagar Ratna Sector 35-C,138
25,Sagar Ratna Sector 35-C,176
26,Sagar Ratna Sector 35-C,162
27,Sagar Ratna Sector 35-C,114
28,Sagar Ratna Sector 35-C,183
29,Sagar Ratna Sector 35-C,128
30,Sagar Ratna Sector 35-C,122
31,Sagar Ratna Sector 35-C,172
32,Sagar Ratna Sector 35-C,149
33,Sagar Ratna Sector 35-C,123
34,Sagar Ratna Sector 35-C,175
35,Sagar Ratna Sector 35-C,174
36,Sagar Ratna Sector 35-C,117
37,Sagar Ratna Sector 35-C,160
38,Sagar Ratna Sector 35-C,131
39,Sagar Ratna Sector 35-C,139
40,Sagar Ratna Sector 35-C,127
41,Sagar Ratna Sector 35-C,147
42,Sagar Ratna Sector 35-C,180
43,Sagar Ratna Sector 35-C,127
44,Sagar Ratna Sector 35-C,194
45,Sagar Ratna Sector 35-C,179
46,Sagar Ratna Sector 35-C,183
47,Sagar Ratna Sector 35-C,120
48,Sagar Ratna Sector 35-C,125
49,Sagar Ratna Sector 35-C,193
50,Sagar Ratna Sector 35-C,131
51,Sagar Ratna Sector 35-C,135
52,Sagar Ratna Sector 35-C,136
53,Sagar Ratna Sector 35-C,114
54,Sagar Ratna Sector 35-C,172
55,Sagar Ratna Sector 35-C,122
56,Sagar Ratna Sector 35-C,162
57,Sagar Ratna Sector 35-C,123
58,Sagar Ratna Sector 35-C,113
59,Sagar Ratna Sector 35-C,173
60,Sagar Ratna Sector 35-C,191
1,Laziz Rasoi Sector 35-C,169
2,Laziz Rasoi Sector 35-C,195
3,Laziz Rasoi Sector 35-C,161
4,Laziz Rasoi Sector 35-C,118
5,Laziz Rasoi Sector 35-C,177
6,Laziz Rasoi Sector 35-C,193
7,Laziz Rasoi Sector 35-C,168
8,Laziz Rasoi Sector 35-C,163
9,Laziz Rasoi Sector 35-C,138
10,Laziz Rasoi Sector 35-C,150
11,Laziz Rasoi Sector 35-C,188
12,Laziz Rasoi Sector 35-C,192
13,Laziz Rasoi Sector 35-C,147
14,Laziz Rasoi Sector 35-C,184
15,Laziz Rasoi Sector 35-C,115
16,Laziz Rasoi Sector 35-C,118
17,Laziz Rasoi Sector 35-C,186
18,Laziz Rasoi Sector 35-C,179
19,Laziz Rasoi Sector 35-C,181
20,Laziz Rasoi Sector 35-C,155
21,Laziz Rasoi Sector 35-C,123
22,Laziz Rasoi Sector 35-C,125
23,Laziz Rasoi Sector 35-C,169
24,Laziz Rasoi Sector 35-C,131
25,Laziz Rasoi Sector 35-C,159
26,Laziz Rasoi Sector 35-C,193
27,Laziz Rasoi Sector 35-C,142
28,Laziz Rasoi Sector 35-C,118
29,Laziz Rasoi Sector 35-C,174
30,Laziz Rasoi Sector 35-C,126
31,Laziz Rasoi Sector 35-C,111
32,Laziz Rasoi Sector 35-C,187
33,Laziz Rasoi Sector 35-C,146
34,Laziz Rasoi Sector 35-C,163
35,Laziz Rasoi Sector 35-C,112
36,Laziz Rasoi Sector 35-C,174
37,Laziz Rasoi Sector 35-C,166
38,Laziz Rasoi Sector 35-C,141
39,Laziz Rasoi Sector 35-C,157
40,Laziz Rasoi Sector 35-C,120
41,Laziz Rasoi Sector 35-C,120
42,Laziz Rasoi Sector 35-C,111
43,Laziz Rasoi Sector 35-C,172
44,Laziz Rasoi Sector 35-C,174
45,Laziz Rasoi Sector 35-C,193
46,Laziz Rasoi Sector 35-C,151
47,Laziz Rasoi Sector 35-C,187
48,Laziz Rasoi Sector 35-C,126
49,Laziz Rasoi Sector 35-C,110
50,Laziz Rasoi Sector 35-C,178
51,Laziz Rasoi Sector 35-C,159
52,Laziz Rasoi Sector 35-C,190
53,Laziz Rasoi Sector 35-C,135
54,Laziz Rasoi Sector 35-C,171
55,Laziz Rasoi Sector 35-C,122
56,Laziz Rasoi Sector 35-C,115
57,Laziz Rasoi Sector 35-C,144
58,Laziz Rasoi Sector 35-C,139
59,Laziz Rasoi Sector 35-C,135
60,Laziz Rasoi Sector 35-C,133
1,Barbeque Nation Sector-26,179
2,Barbeque Nation Sector-26,166
3,Barbeque Nation Sector-26,197
4,Barbeque Nation Sector-26,126
5,Barbeque Nation Sector-26,111
6,Barbeque Nation Sector-26,169
7,Barbeque Nation Sector-26,158
8,Barbeque Nation Sector-26,142
9,Barbeque Nation Sector-26,153
10,Barbeque Nation Sector-26,137
11,Barbeque Nation Sector-26,116
12,Barbeque Nation Sector-26,132
13,Barbeque Nation Sector-26,166
14,Barbeque Nation Sector-26,154
15,Barbeque Nation Sector-26,192
16,Barbeque Nation Sector-26,196
17,Barbeque Nation Sector-26,172
18,Barbeque Nation Sector-26,174
19,Barbeque Nation Sector-26,182
20,Barbeque Nation Sector-26,138
21,Barbeque Nation Sector-26,167
22,Barbeque Nation Sector-26,114
23,Barbeque Nation Sector-26,149
24,Barbeque Nation Sector-26,185
25,Barbeque Nation Sector-26,176
26,Barbeque Nation Sector-26,198
27,Barbeque Nation Sector-26,149
28,Barbeque Nation Sector-26,141
29,Barbeque Nation Sector-26,124
30,Barbeque Nation Sector-26,184
31,Barbeque Nation Sector-26,154
32,Barbeque Nation Sector-26,121
33,Barbeque Nation Sector-26,129
34,Barbeque Nation Sector-26,146
35,Barbeque Nation Sector-26,124
36,Barbeque Nation Sector-26,110
37,Barbeque Nation Sector-26,120
38,Barbeque Nation Sector-26,161
39,Barbeque Nation Sector-26,177
40,Barbeque Nation Sector-26,189
41,Barbeque Nation Sector-26,193
42,Barbeque Nation Sector-26,138
43,Barbeque Nation Sector-26,135
44,Barbeque Nation Sector-26,123
45,Barbeque Nation Sector-26,147
46,Barbeque Nation Sector-26,156
47,Barbeque Nation Sector-26,113
48,Barbeque Nation Sector-26,192
49,Barbeque Nation Sector-26,198
50,Barbeque Nation Sector-26,136
51,Barbeque Nation Sector-26,125
52,Barbeque Nation Sector-26,118
53,Barbeque Nation Sector-26,199
54,Barbeque Nation Sector-26,120
55,Barbeque Nation Sector-26,150
56,Barbeque Nation Sector-26,159
57,Barbeque Nation Sector-26,132
58,Barbeque Nation Sector-26,176
59,Barbeque Nation Sector-26,144
60,Barbeque Nation Sector-26,191
1,Kalsang Restaurant Sector-8C,170
2,Kalsang Restaurant Sector-8C,151
3,Kalsang Restaurant Sector-8C,140
4,Kalsang Restaurant Sector-8C,152
5,Kalsang Restaurant Sector-8C,122
6,Kalsang Restaurant Sector-8C,139
7,Kalsang Restaurant Sector-8C,187
8,Kalsang Restaurant Sector-8C,152
9,Kalsang Restaurant Sector-8C,176
10,Kalsang Restaurant Sector-8C,111
11,Kalsang Restaurant Sector-8C,115
12,Kalsang Restaurant Sector-8C,171
13,Kalsang Restaurant Sector-8C,179
14,Kalsang Restaurant Sector-8C,120
15,Kalsang Restaurant Sector-8C,113
16,Kalsang Restaurant Sector-8C,191
17,Kalsang Restaurant Sector-8C,134
18,Kalsang Restaurant Sector-8C,150
19,Kalsang Restaurant Sector-8C,125
20,Kalsang Restaurant Sector-8C,133
21,Kalsang Restaurant Sector-8C,184
22,Kalsang Restaurant Sector-8C,162
23,Kalsang Restaurant Sector-8C,139
24,Kalsang Restaurant Sector-8C,115
25,Kalsang Restaurant Sector-8C,124
26,Kalsang Restaurant Sector-8C,186
27,Kalsang Restaurant Sector-8C,161
28,Kalsang Restaurant Sector-8C,182
29,Kalsang Restaurant Sector-8C,166
30,Kalsang Restaurant Sector-8C,123
31,Kalsang Restaurant Sector-8C,193
32,Kalsang Restaurant Sector-8C,134
33,Kalsang Restaurant Sector-8C,188
34,Kalsang Restaurant Sector-8C,199
35,Kalsang Restaurant Sector-8C,184
36,Kalsang Restaurant Sector-8C,153
37,Kalsang Restaurant Sector-8C,173
38,Kalsang Restaurant Sector-8C,186
39,Kalsang Restaurant Sector-8C,140
40,Kalsang Restaurant Sector-8C,155
41,Kalsang Restaurant Sector-8C,125
42,Kalsang Restaurant Sector-8C,112
43,Kalsang Restaurant Sector-8C,128
44,Kalsang Restaurant Sector-8C,173
45,Kalsang Restaurant Sector-8C,174
46,Kalsang Restaurant Sector-8C,153
47,Kalsang Restaurant Sector-8C,154
48,Kalsang Restaurant Sector-8C,162
49,Kalsang Restaurant Sector-8C,121
50,Kalsang Restaurant Sector-8C,193
51,Kalsang Restaurant Sector-8C,196
52,Kalsang Restaurant Sector-8C,128
53,Kalsang Restaurant Sector-8C,128
54,Kalsang Restaurant Sector-8C,187
55,Kalsang Restaurant Sector-8C,178
56,Kalsang Restaurant Sector-8C,146
57,Kalsang Restaurant Sector-8C,123
58,Kalsang Restaurant Sector-8C,119
59,Kalsang Restaurant Sector-8C,144
60,Kalsang Restaurant Sector-8C,183
